id_projet;intitule;organisation;co_porteurs;thematiques;odd;etat;annee_debut;annee_fin;zones;beneficiaires_par_zone;partenaires;bailleurs;budget_eur;resume
P029;Appui aux initiatives de développement local (Gorgol);gret;;dev_local secu_alim;2 11 16;termine;2021;2024;SN-PODOR MR-KAEDI SN-MATAM;SN-PODOR:1333 MR-KAEDI:1333 SN-MATAM:1333;Union des producteurs de Gorgol;Agence bilatérale A;1800000;Projet fictif de démonstration porté par Gret sur Podor, Kaédi, Matam. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P030;Renforcement de la planification locale (Mamou);gret;;dev_local;11 16;en_cours;2025;2028;GN-MAMOU GN-DALABA;GN-MAMOU:2000 GN-DALABA:2000;Association des femmes de Dalaba | Commune de Mamou | Université partenaire (recherche);Coopération décentralisée C | Programme multilatéral F;900000;Projet fictif de démonstration porté par Gret sur Mamou, Dalaba. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P031;Appui à la maîtrise d’ouvrage communale – Ranérou;gret;;dev_local education_formation;4 8 11 16;termine;2020;2022;SN-RANEROU;SN-RANEROU:800;Fédération des éleveurs de Matam;Agence de l’eau D | Coopération décentralisée C;180000;Projet fictif de démonstration porté par Gret sur Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P032;Résilience des systèmes alimentaires (Brakna);gret;;secu_alim;2;termine;2020;2022;MR-BOGHE MR-OUAD-NAGA MR-BOUTILIMIT;MR-BOGHE:267 MR-OUAD-NAGA:267 MR-BOUTILIMIT:267;Commune de Ouad Naga;Union européenne (fictif);480000;Projet fictif de démonstration porté par Gret sur Boghé, Ouad Naga, Boutilimit. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Sécurité alimentaire.
P033;Appui à la maîtrise d’ouvrage communale (Kankan);gret;;dev_local;11 16;termine;2019;2022;GN-KANKAN GN-MANDIANA GN-KOUROUSSA GN-SIGUIRI;GN-KANKAN:1000 GN-MANDIANA:1000 GN-KOUROUSSA:1000 GN-SIGUIRI:1000;Réseau des jeunes du fleuve | Service régional de l’hydraulique | Union des producteurs de Kankan;Coopération décentralisée C;1800000;Projet fictif de démonstration porté par Gret sur Kankan, Mandiana, Kouroussa, Siguiri. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P034;Accès à l’eau potable et à l’assainissement (Saint-Louis);gret;partenariat;eau_assainissement migration;6 8 10;en_cours;2024;2028;SN-PODOR MR-BABABE;SN-PODOR:750 MR-BABABE:750;Fédération des éleveurs de Saint-Louis | Association des femmes de Bababé | Commune de Bababé;Fonds climat E | Agence de l’eau D;350000;Projet fictif de démonstration porté par Gret sur Podor, Bababé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P035;Appui à l’entrepreneuriat des jeunes – Kaédi;gret;;dev_eco;1 8;termine;2020;2022;MR-KAEDI;MR-KAEDI:800;Fédération des éleveurs de Gorgol | Commune de Kaédi | Service régional de l’hydraulique | Agence régionale de développement de Gorgol;Agence bilatérale A | Union européenne (fictif);2500000;Projet fictif de démonstration porté par Gret sur Kaédi. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P036;Assainissement en milieu scolaire – Koumpentoum;gret;;eau_assainissement migration;6 8 10;en_cours;2024;2027;SN-KOUMPENTOUM;SN-KOUMPENTOUM:800;Fédération des éleveurs de Tambacounda | Université partenaire (recherche) | Union des producteurs de Tambacounda;Union européenne (fictif) | Agence bilatérale A;180000;Projet fictif de démonstration porté par Gret sur Koumpentoum. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P037;Gestion concertée des services d’eau (Matam);gret;;eau_assainissement;6;en_cours;2025;2027;SN-LINGUERE SN-RANEROU;SN-LINGUERE:12500 SN-RANEROU:12500;Association de ressortissants en France | Réseau des jeunes du fleuve | Agence régionale de développement de Matam;Fondation B | Fonds climat E;120000;Projet fictif de démonstration porté par Gret sur Linguère, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P038;Appui à la maîtrise d’ouvrage communale – Maghama;gret;;dev_local;11 16;termine;2022;2023;MR-MAGHAMA;MR-MAGHAMA:800;Service régional de l’hydraulique | Association de ressortissants en France | Commune de Maghama;Programme multilatéral F | Fonds climat E | Agence bilatérale A;350000;Projet fictif de démonstration porté par Gret sur Maghama. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P039;Structuration des filières locales (Matam);gret;;dev_eco;1 8;en_cours;2025;2028;SN-TAMBACOUNDA SN-KANEL SN-GOUDIRY SN-RANEROU;SN-TAMBACOUNDA:3750 SN-KANEL:3750 SN-GOUDIRY:3750 SN-RANEROU:3750;Université partenaire (recherche) | Réseau des jeunes du fleuve | Union des producteurs de Matam;Agence bilatérale A | Agence de l’eau D | Union européenne (fictif);250000;Projet fictif de démonstration porté par Gret sur Tambacounda, Kanel, Goudiry, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P040;Gestion concertée des services d’eau – Podor;gret;;eau_assainissement risques_naturels;6 11 13;termine;2021;2023;SN-PODOR;SN-PODOR:4000;Association des femmes de Podor | Union des producteurs de Saint-Louis;Coopération décentralisée C | Agence de l’eau D;1800000;Projet fictif de démonstration porté par Gret sur Podor. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Eau et assainissement.
P041;Lutte contre la plante envahissante typha (Kayes);avsf;;grn;13 15;termine;2021;2024;ML-KITA ML-BAFOULABE ML-DIEMA ML-KENIEBA;ML-KITA:1000 ML-BAFOULABE:1000 ML-DIEMA:1000 ML-KENIEBA:1000;Fédération des éleveurs de Kayes;Union européenne (fictif) | Agence de l’eau D;180000;Projet fictif de démonstration porté par AVSF sur Kita, Bafoulabé, Diéma, Kéniéba. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
P042;Appui aux unités pastorales – Bafoulabé;avsf;;pastoralisme grn;2 13 15;en_cours;2025;2028;ML-BAFOULABE;ML-BAFOULABE:1500;Association de ressortissants en France | Union des producteurs de Kayes | Association des femmes de Bafoulabé;Fondation B | Fonds climat E | Agence bilatérale A;2500000;Projet fictif de démonstration porté par AVSF sur Bafoulabé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Pastoralisme et élevage.
P043;Appui aux unités pastorales (Kayes);avsf;grdr;pastoralisme eau_assainissement;2 6 15;termine;2019;2021;ML-KAYES ML-BAFOULABE;ML-KAYES:12500 ML-BAFOULABE:12500;Service régional de l’hydraulique | Agence régionale de développement de Kayes;Agence bilatérale A;1800000;Projet fictif de démonstration porté par AVSF sur Kayes, Bafoulabé. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Pastoralisme et élevage.
P044;Accès au financement des petites entreprises rurales (Saint-Louis);avsf;;dev_eco;1 8;termine;2020;2021;SN-PODOR SN-DAGANA;SN-PODOR:7500 SN-DAGANA:7500;Fédération des éleveurs de Saint-Louis | Association de ressortissants en France | Commune de Podor;Fonds climat E | Union européenne (fictif);900000;Projet fictif de démonstration porté par AVSF sur Podor, Dagana. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P045;Structuration des filières locales – Kanel;avsf;partenariat;dev_eco;1 8;termine;2022;2023;SN-KANEL;SN-KANEL:6000;Université partenaire (recherche);Union européenne (fictif) | Programme multilatéral F | Fondation B;250000;Projet fictif de démonstration porté par AVSF sur Kanel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P046;Sécurisation de la mobilité pastorale – Saint-Louis;avsf;;pastoralisme grn;2 13 15;termine;2021;2023;SN-SAINT-LOUIS;SN-SAINT-LOUIS:15000;Association des femmes de Saint-Louis | Réseau des jeunes du fleuve | Agence régionale de développement de Saint-Louis | Service régional de l’hydraulique;Agence bilatérale A;1800000;Projet fictif de démonstration porté par AVSF sur Saint-Louis. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Pastoralisme et élevage.
P047;Maraîchage et sécurité nutritionnelle (Tambacounda);avsf;;secu_alim grn;2 13 15;termine;2019;2022;SN-BAKEL SN-GOUDIRY;SN-BAKEL:12500 SN-GOUDIRY:12500;Association des femmes de Goudiry | Fédération des éleveurs de Tambacounda | Association de ressortissants en France;Coopération décentralisée C | Agence de l’eau D;250000;Projet fictif de démonstration porté par AVSF sur Bakel, Goudiry. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Sécurité alimentaire.
P048;Résilience des systèmes alimentaires (Tambacounda);avsf;;secu_alim cohesion_gouvernance;2 5 16;en_cours;2025;2028;SN-BAKEL ML-KAYES ML-KENIEBA;SN-BAKEL:3000 ML-KAYES:3000 ML-KENIEBA:3000;Commune de Kayes;Agence bilatérale A;1800000;Projet fictif de démonstration porté par AVSF sur Bakel, Kayes, Kéniéba. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Sécurité alimentaire.
P049;Sécurisation de la mobilité pastorale (Saint-Louis);avsf;;pastoralisme;2 15;termine;2023;2024;SN-SAINT-LOUIS SN-LINGUERE SN-DAGANA;SN-SAINT-LOUIS:3000 SN-LINGUERE:3000 SN-DAGANA:3000;Agence régionale de développement de Saint-Louis | Université partenaire (recherche);Programme multilatéral F | Fondation B | Union européenne (fictif);2500000;Projet fictif de démonstration porté par AVSF sur Saint-Louis, Linguère, Dagana. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Pastoralisme et élevage.
P050;Lutte contre la plante envahissante typha (Louga);avsf;geres;grn migration;8 10 13 15;termine;2020;2023;SN-LINGUERE SN-KEBEMER;SN-LINGUERE:4500 SN-KEBEMER:4500;Union des producteurs de Louga | Service régional de l’hydraulique | Commune de Kébémer | Réseau des jeunes du fleuve;Fonds climat E;1200000;Projet fictif de démonstration porté par AVSF sur Linguère, Kébémer. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
P051;Renforcement de la planification locale (Louga);geres;;dev_local;11 16;termine;2021;2024;SN-SAINT-LOUIS SN-DAGANA SN-LOUGA;SN-SAINT-LOUIS:3000 SN-DAGANA:3000 SN-LOUGA:3000;Service régional de l’hydraulique;Fondation B | Programme multilatéral F | Agence de l’eau D;120000;Projet fictif de démonstration porté par Geres sur Saint-Louis, Dagana, Louga. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P052;Prévention des inondations et alerte précoce – Podor;geres;ados partenariat;risques_naturels pastoralisme;2 11 13 15;termine;2022;2025;SN-PODOR;SN-PODOR:15000;Association de ressortissants en France;Agence de l’eau D | Union européenne (fictif);2500000;Projet fictif de démonstration porté par Geres sur Podor. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Risques naturels et inondations.
P053;Prévention des inondations et alerte précoce – Kanel;geres;;risques_naturels migration;8 10 11 13;termine;2020;2022;SN-KANEL;SN-KANEL:25000;Commune de Kanel | Association de ressortissants en France | Université partenaire (recherche);Fondation B | Agence de l’eau D | Fonds climat E;2500000;Projet fictif de démonstration porté par Geres sur Kanel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Risques naturels et inondations.
P054;Restauration des terres dégradées (Saint-Louis);geres;ados;grn risques_naturels;11 13 15;termine;2019;2023;SN-SAINT-LOUIS SN-PODOR SN-DAGANA SN-LOUGA;SN-SAINT-LOUIS:1500 SN-PODOR:1500 SN-DAGANA:1500 SN-LOUGA:1500;Association des femmes de Podor | Fédération des éleveurs de Saint-Louis | Réseau des jeunes du fleuve | Service régional de l’hydraulique;Agence de l’eau D;180000;Projet fictif de démonstration porté par Geres sur Saint-Louis, Podor, Dagana, Louga. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
P055;Renforcement de la planification locale – Kanel;geres;;dev_local;11 16;termine;2019;2023;SN-KANEL;SN-KANEL:6000;Commune de Kanel | Agence régionale de développement de Matam;Fonds climat E | Programme multilatéral F;120000;Projet fictif de démonstration porté par Geres sur Kanel. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement local.
P056;Structuration des filières locales (Matam);geres;;dev_eco grn;1 8 13 15;termine;2019;2022;SN-PODOR SN-KANEL SN-RANEROU;SN-PODOR:267 SN-KANEL:267 SN-RANEROU:267;Université partenaire (recherche) | Association des femmes de Podor | Réseau des jeunes du fleuve | Association de ressortissants en France;Coopération décentralisée C | Programme multilatéral F | Agence de l’eau D;120000;Projet fictif de démonstration porté par Geres sur Podor, Kanel, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Développement économique.
P057;Prévention des inondations et alerte précoce (Tambacounda);geres;grdr;risques_naturels cohesion_gouvernance;5 11 13 16;termine;2019;2021;SN-MATAM SN-KANEL SN-KOUMPENTOUM SN-RANEROU;SN-MATAM:375 SN-KANEL:375 SN-KOUMPENTOUM:375 SN-RANEROU:375;Union des producteurs de Tambacounda;Fonds climat E;120000;Projet fictif de démonstration porté par Geres sur Matam, Kanel, Koumpentoum, Ranérou. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Risques naturels et inondations.
P058;Restauration des terres dégradées (Tambacounda);geres;avsf;grn;13 15;en_cours;2025;2028;SN-BAKEL SN-KANEL SN-SARAYA;SN-BAKEL:1333 SN-KANEL:1333 SN-SARAYA:1333;Réseau des jeunes du fleuve | Agence régionale de développement de Tambacounda | Association de ressortissants en France;Programme multilatéral F;480000;Projet fictif de démonstration porté par Geres sur Bakel, Kanel, Saraya. Il illustre la structure d’une fiche projet : objectifs, activités principales et résultats attendus. Thématique principale : Gestion des ressources naturelles.
